Attempt,Algorithm,Length,Time,,,,,,,,,,
19,A*,7,0.00027,,,,,,,,,,
19,A*,8,0.00015,,,,,,,,,,
19,A*,9,3.00E-05,,,,,,,,,,
19,A*,10,7.00E-05,,,,,,,,,,
19,A*,11,0.00045,,,,,,,,,,
19,A*,12,0.00031,,,,,,,,,,
19,A*,13,0.00022,,,,,,,,,,
20,A*,3,8.00E-05,,,,,,,,,,
20,A*,4,0.00027,,,,,,,,,,
20,A*,5,0.00033,,,,,,,,,,
20,A*,6,8.00E-05,,,,,,,,,,
20,A*,7,0.00037,,,,,,,,,,
20,A*,8,0.00037,,,,,,,,,,
20,A*,9,0.00018,,,,,,,,,,
20,A*,10,0.00014,,,,,,,,,,
20,A*,11,0.00067,,,,,,,,,,
20,A*,12,5.00E-05,,,,,,,,,,
20,A*,13,0.00059,,,,,,,,,,
20,A*,14,0.00011,,,,,,,,,,
20,A*,15,5.00E-05,,,,,,,,,,
20,A*,16,0.00018,,,,,,,,,,
20,A*,17,0.00015,,,,,,,,,,
20,A*,18,0.00043,,,,,,,,,,
21,A*,3,7.00E-05,,,,,,,,,,
21,A*,4,3.00E-05,,,,,,,,,,
21,A*,5,0.00047,,,,,,,,,,
21,A*,6,0.00035,,,,,,,,,,
21,A*,7,0.00023,,,,,,,,,,
21,A*,8,0.00046,,,,,,,,,,
21,A*,9,0.0005,,,,,,,,,,
21,A*,10,0.00021,,,,,,,,,,
21,A*,11,0.00059,,,,,,,,,,
21,A*,12,0.00045,,,,,,,,,,
21,A*,13,0.00011,,,,,,,,,,
21,A*,14,0.00011,,,,,,,,,,
21,A*,15,1.00E-05,,,,,,,,,,
21,A*,16,0.0002,,,,,,,,,,
22,A*,3,8.00E-05,,,,,,,,,,
22,A*,4,6.00E-05,,,,,,,,,,
22,A*,5,0.00018,,,,,,,,,,
22,A*,6,0.00043,,,,,,,,,,
22,A*,7,0.00014,,,,,,,,,,
22,A*,8,0.0003,,,,,,,,,,
